Temp_F,COP_Low_Stage,COP_High_Stage,Cap_Low_Stage_kBtu_hr,Cap_High_Stage_kBtu_hr
65,5.38,4.4,32.21,43.1
60,5.18,4.21,30.06,40.55
55,4.98,4.02,27.94,38.05
50,4.77,3.83,25.86,35.59
47,4.62,3.7,24.53,34
45,4.49,3.6,23.52,32.84
40,4.16,3.35,21,30.01
35,3.85,3.1,18.69,27.28
30,3.6,2.91,16.81,25.04
25,3.44,2.77,14.4,23.4
20,3.34,2.68,14.35,22.23
17,3.3,2.64,13.79,21.6
15,3.19,2.56,13.07,20.77
10,2.88,2.35,11.28,18.71
5,2.55,2.14,9.5,16.64
0,2.18,1.91,7.71,14.57
-5,1.77,1.68,5.92,12.51
